job_id,source_job_id,alias_no,alias_name
JT0001,1,1,油揚製造工
JT0001,1,2,がんもどき製造工
JT0001,1,3,豆腐製造工
JT0001,1,4,生揚製造工
JT0001,1,5,焼豆腐製造工
JT0002,2,1,パン製造設備オペレーター
JT0002,2,2,食パン製造工
JT0002,2,3,パン生地仕込工
JT0002,2,4,パン製造工
JT0002,2,5,パン焼成工
JT0003,3,1,ケーキ製造工
JT0003,3,2,洋菓子製造工
JT0003,3,3,洋菓子製造設備オペレーター
JT0004,4,1,せんべい製造工
JT0004,4,2,大福製造工
JT0004,4,3,どらやき製造工
JT0004,4,4,もなか製造工
JT0004,4,5,ようかん製造工
JT0004,4,6,和菓子製造工
JT0005,5,1,牛乳製造工
JT0005,5,2,チーズ製造工
JT0005,5,3,バター製造工
JT0005,5,4,ヨーグルト製造工
JT0005,5,5,チーズ製造設備オペレーター
JT0005,5,6,乳製品製造設備オペレーター
JT0006,6,1,蒲鉾製造工
JT0006,6,2,魚肉ソーセージ製造工
JT0006,6,3,さつま揚製造工
JT0006,6,4,水産ねり製品製造工
JT0006,6,5,水産ねり物製造工
JT0006,6,6,ちくわ製造工
JT0006,6,7,はんぺん製造工
JT0007,7,1,冷凍うどん製造工
JT0007,7,2,冷凍えびフライ製造工
JT0007,7,3,冷凍コロッケ製造工
JT0007,7,4,冷凍ピラフ製造工
JT0007,7,5,保存食品製造設備オペレーター
JT0007,7,6,冷凍加工食品製造設備オペレーター
JT0008,8,1,揚物製造工
JT0008,8,2,惣菜製造工
JT0008,8,3,洋風惣菜製造工（デリカテッセン店）
JT0009,9,1,清酒製造工
JT0009,9,2,杜氏
JT0010,10,1,味そ製造工
JT0011,11,1,しょう油製造工
JT0012,12,1,ウインナー製造工
JT0012,12,2,カッター工（肉製品）
JT0012,12,3,くん煙工（肉製品）
JT0012,12,4,仕込工（鳥獣肉製品）
JT0012,12,5,肉詰工（ハム・ソーセージ製造）
JT0012,12,6,ハム・ベーコン・ソーセージ製造工
JT0012,12,7,ボイル工（ハム・ソーセージ製造）
JT0013,13,1,果実酒製造工
JT0013,13,2,酒類製造工（清酒を除く）
JT0013,13,3,ワイン製造工
JT0014,14,1,酒類製造工（清酒を除く）
JT0014,14,2,ビール製造工
JT0015,15,1,缶詰食品原料調理工
JT0015,15,2,缶詰食品殺菌加熱工
JT0015,15,3,缶詰食品充填工
JT0015,15,4,缶詰食品密封工
JT0015,15,5,びん詰食品原料調理工
JT0015,15,6,びん詰食品殺菌加熱工
JT0015,15,7,びん詰食品充填工
JT0015,15,8,びん詰食品密封工
JT0015,15,9,レトルト食品原料調理工
JT0015,15,10,レトルト食品殺菌加熱工
JT0015,15,11,レトルト食品充填工
JT0015,15,12,レトルト食品製造工
JT0015,15,13,缶詰食品製造設備オペレーター
JT0015,15,14,びん詰食品製造設備オペレーター
JT0015,15,15,保存食品製造設備オペレーター
JT0015,15,16,レトルト食品製造設備オペレーター
JT0016,16,1,梅干漬工
JT0016,16,2,千枚漬工
JT0016,16,3,沢庵漬工
JT0016,16,4,漬物職人（野菜）
JT0016,16,5,福神漬製造工
JT0016,16,6,野菜塩漬工
JT0016,16,7,らっきょう漬工
JT0017,17,1,タイル製造工（陶磁器製品製造）
JT0017,17,2,陶磁器研磨工
JT0017,17,3,陶磁器焼成工
JT0017,17,4,陶磁器成形工
JT0017,17,5,かわら製造設備オペレーター
JT0017,17,6,陶磁器製造設備オペレーター
JT0017,17,7,窯業原料加工設備オペレーター
JT0017,17,8,るつぼ製造設備オペレーター
JT0018,18,1,鏡銀引き工
JT0018,18,2,ガラスカッティング工
JT0018,18,3,ガラス彫刻工
JT0018,18,4,ガラス熱加工工
JT0018,18,5,ガラス熱処理工
JT0018,18,6,ガラス研磨設備オペレーター
JT0018,18,7,ガラス成形設備オペレーター
JT0018,18,8,ガラス繊維製造設備オペレーター
JT0018,18,9,ガラス熱加工設備オペレーター
JT0018,18,10,ガラス熱処理設備オペレーター
JT0019,19,1,プラスチック圧縮成形工
JT0019,19,2,プラスチック射出成形工
JT0019,19,3,プラスチック押出成形工
JT0019,19,4,プラスチック積層成形工
JT0019,19,5,プラスチック手造り成形工
JT0019,19,6,プラスチック熱成形工
JT0019,19,7,プラスチック発泡成形工
JT0019,19,8,プラスチックブロー成形工
JT0019,19,9,プラスチックロール圧延工
JT0019,19,10,原料プラスチック加工設備オペレーター
JT0019,19,11,プラスチック研磨設備オペレーター
JT0019,19,12,プラスチック裁断設備オペレーター
JT0019,19,13,プラスチック成形設備オペレーター
JT0019,19,14,プラスチック製品製造設備オペレーター
JT0019,19,15,プラスチック接合設備オペレーター
JT0019,19,16,プラスチック切削設備オペレーター
JT0020,20,1,管工事設計技術者
JT0020,20,2,給排水衛生工事設計技術者
JT0020,20,3,建築構造設計技術者
JT0020,20,4,建築設計士
JT0020,20,5,建築設備設計技術者
JT0021,21,1,管工事施工管理技士
JT0021,21,2,給排水設備工事施工管理者
JT0021,21,3,空調衛生設備施工管理技術者
JT0021,21,4,建築工事現場監督
JT0021,21,5,プラント建設工事施工管理技術者
JT0021,21,6,内装工事施工管理技術者
JT0022,22,1,河川改修設計技術者
JT0022,22,2,橋梁設計技術者
JT0022,22,3,港湾設計技術者
JT0022,22,4,水道工事設計技術者
JT0022,22,5,造園設計技術者
JT0022,22,6,鉄道線路設計技術者
JT0022,22,7,道路建設設計技術者
JT0022,22,8,土木施設設計技術者
JT0023,23,1,浄化槽設備士
