job_id,source_job_id,classification_type,classification_code
JT0001,1,主な厚労省編職業分類,12_072-06
JT0001,1,厚労省編職業分類１,12_072-06
JT0001,1,主な日本標準職業分類,H533
JT0001,1,日本標準職業分類１,H533
JT0002,2,主な厚労省編職業分類,12_072-01
JT0002,2,厚労省編職業分類１,12_068-01
JT0002,2,厚労省編職業分類２,12_072-01
JT0002,2,主な日本標準職業分類,H533
JT0002,2,日本標準職業分類１,H503
JT0002,2,日本標準職業分類２,H533
JT0003,3,主な厚労省編職業分類,12_072-01
JT0003,3,厚労省編職業分類１,12_072-01
JT0003,3,厚労省編職業分類２,09_055-02
JT0003,3,厚労省編職業分類３,12_068-01
JT0003,3,主な日本標準職業分類,H533
JT0003,3,日本標準職業分類１,H533
JT0003,3,日本標準職業分類２,E391
JT0003,3,日本標準職業分類３,H503
JT0004,4,主な厚労省編職業分類,12_072-01
JT0004,4,厚労省編職業分類１,12_072-01
JT0004,4,主な日本標準職業分類,H533
JT0004,4,日本標準職業分類１,H533
JT0005,5,主な厚労省編職業分類,12_072-06
JT0005,5,厚労省編職業分類１,12_068-01
JT0005,5,厚労省編職業分類２,12_072-06
JT0005,5,主な日本標準職業分類,H533
JT0005,5,日本標準職業分類１,H503
JT0005,5,日本標準職業分類２,H533
JT0006,6,主な厚労省編職業分類,12_072-03
JT0006,6,厚労省編職業分類１,12_072-03
JT0006,6,主な日本標準職業分類,H533
JT0006,6,日本標準職業分類１,H533
JT0007,7,主な厚労省編職業分類,12_072-04
JT0007,7,厚労省編職業分類１,12_068-01
JT0007,7,厚労省編職業分類２,12_072-04
JT0007,7,主な日本標準職業分類,H533
JT0007,7,日本標準職業分類１,H503
JT0007,7,日本標準職業分類２,H533
JT0008,8,主な厚労省編職業分類,12_072-05
JT0008,8,厚労省編職業分類１,12_072-05
JT0008,8,主な日本標準職業分類,H533
JT0008,8,日本標準職業分類１,H533
JT0009,9,主な厚労省編職業分類,12_072-07
JT0009,9,厚労省編職業分類１,12_072-07
JT0009,9,主な日本標準職業分類,H534
JT0009,9,日本標準職業分類１,H534
JT0010,10,主な厚労省編職業分類,12_072-06
JT0010,10,厚労省編職業分類１,12_072-06
JT0010,10,主な日本標準職業分類,H533
JT0010,10,日本標準職業分類１,H533
JT0011,11,主な厚労省編職業分類,12_072-06
JT0011,11,厚労省編職業分類１,12_072-06
JT0011,11,主な日本標準職業分類,H533
JT0011,11,日本標準職業分類１,H533
JT0012,12,主な厚労省編職業分類,12_072-02
JT0012,12,厚労省編職業分類１,12_072-02
JT0012,12,主な日本標準職業分類,H533
JT0012,12,日本標準職業分類１,H533
JT0013,13,主な厚労省編職業分類,12_072-07
JT0013,13,厚労省編職業分類１,12_072-07
JT0013,13,主な日本標準職業分類,H534
JT0013,13,日本標準職業分類１,H534
JT0014,14,主な厚労省編職業分類,12_072-07
JT0014,14,厚労省編職業分類１,12_072-07
JT0014,14,主な日本標準職業分類,H534
JT0014,14,日本標準職業分類１,H534
JT0015,15,主な厚労省編職業分類,12_072-04
JT0015,15,厚労省編職業分類１,12_068-01
JT0015,15,厚労省編職業分類２,12_072-04
JT0015,15,主な日本標準職業分類,H533
JT0015,15,日本標準職業分類１,H503
JT0015,15,日本標準職業分類２,H533
JT0016,16,主な厚労省編職業分類,12_072-06
JT0016,16,厚労省編職業分類１,12_072-06
JT0016,16,主な日本標準職業分類,H533
JT0016,16,日本標準職業分類１,H533
JT0017,17,主な厚労省編職業分類,12_073-02
JT0017,17,厚労省編職業分類１,12_069-02
JT0017,17,厚労省編職業分類２,12_073-02
JT0017,17,主な日本標準職業分類,H532
JT0017,17,日本標準職業分類１,H502
JT0017,17,日本標準職業分類２,H532
JT0018,18,主な厚労省編職業分類,12_073-02
JT0018,18,厚労省編職業分類１,12_069-02
JT0018,18,厚労省編職業分類２,12_073-02
JT0018,18,主な日本標準職業分類,H532
JT0018,18,日本標準職業分類１,H502
JT0018,18,日本標準職業分類２,H532
JT0019,19,主な厚労省編職業分類,12_073-08
JT0019,19,厚労省編職業分類１,12_069-06
JT0019,19,厚労省編職業分類２,12_073-08
JT0019,19,主な日本標準職業分類,H538
JT0019,19,日本標準職業分類１,H508
JT0019,19,日本標準職業分類２,H538
JT0020,20,主な厚労省編職業分類,02_008-01
JT0020,20,厚労省編職業分類１,02_008-01
JT0020,20,主な日本標準職業分類,B091
JT0020,20,日本標準職業分類１,B091
JT0021,21,主な厚労省編職業分類,02_008-02
JT0021,21,厚労省編職業分類１,02_008-02
JT0021,21,主な日本標準職業分類,B091
JT0021,21,日本標準職業分類１,B091
JT0022,22,主な厚労省編職業分類,02_008-04
JT0022,22,厚労省編職業分類１,02_008-04
JT0022,22,主な日本標準職業分類,B092
JT0022,22,日本標準職業分類１,B092
JT0023,23,主な厚労省編職業分類,02_008-05
JT0023,23,厚労省編職業分類１,02_008-05
JT0023,23,主な日本標準職業分類,B092
JT0023,23,日本標準職業分類１,B092
JT0024,24,主な厚労省編職業分類,02_008-07
JT0024,24,厚労省編職業分類１,02_008-07
JT0024,24,主な日本標準職業分類,B093
JT0024,24,日本標準職業分類１,B093
JT0025,25,主な厚労省編職業分類,12_080-04
JT0025,25,厚労省編職業分類１,12_080-04
JT0025,25,厚労省編職業分類２,12_080-05
JT0025,25,主な日本標準職業分類,H591
JT0025,25,日本標準職業分類１,H591
JT0025,25,日本標準職業分類２,H591
JT0026,26,主な厚労省編職業分類,14_091-01
JT0026,26,厚労省編職業分類１,14_091-01
JT0026,26,主な日本標準職業分類,J661
JT0026,26,日本標準職業分類１,J661
JT0027,27,主な厚労省編職業分類,14_090-01
JT0027,27,厚労省編職業分類１,14_090-01
JT0027,27,主な日本標準職業分類,J651
JT0027,27,日本標準職業分類１,J651
JT0028,28,主な厚労省編職業分類,14_090-04
JT0028,28,厚労省編職業分類１,14_090-04
JT0028,28,主な日本標準職業分類,J653
JT0028,28,日本標準職業分類１,J653
JT0028,28,日本標準職業分類２,J653
JT0029,29,主な厚労省編職業分類,12_071-08
JT0029,29,厚労省編職業分類１,12_067-05
JT0029,29,厚労省編職業分類２,12_071-08
JT0029,29,主な日本標準職業分類,H525
JT0029,29,日本標準職業分類１,H495
JT0029,29,日本標準職業分類２,H525
JT0030,30,主な厚労省編職業分類,14_090-02
JT0030,30,厚労省編職業分類１,14_090-02
JT0030,30,主な日本標準職業分類,J652
JT0030,30,日本標準職業分類１,J652
JT0031,31,主な厚労省編職業分類,13_089-05
JT0031,31,厚労省編職業分類１,13_089-05
JT0031,31,厚労省編職業分類２,13_083-04
JT0031,31,厚労省編職業分類３,13_089-04
JT0031,31,主な日本標準職業分類,I645
JT0031,31,日本標準職業分類１,I645
JT0031,31,日本標準職業分類２,I613
JT0031,31,日本標準職業分類３,I643
JT0032,32,主な厚労省編職業分類,14_092-01
JT0032,32,厚労省編職業分類１,14_092-01
JT0032,32,主な日本標準職業分類,J681
JT0032,32,日本標準職業分類１,J681
JT0033,33,主な厚労省編職業分類,14_091-99
JT0033,33,厚労省編職業分類１,14_091-99
JT0033,33,厚労省編職業分類２,11_066-01
JT0033,33,厚労省編職業分類３,10_061-01
JT0033,33,厚労省編職業分類４,10_063-99
JT0033,33,主な日本標準職業分類,J669
JT0033,33,日本標準職業分類１,J669
JT0033,33,日本標準職業分類２,G481
JT0033,33,日本標準職業分類３,F442
JT0033,33,日本標準職業分類４,F459
JT0035,35,主な厚労省編職業分類,13_089-05
JT0035,35,厚労省編職業分類１,13_089-05
JT0035,35,主な日本標準職業分類,I645
JT0035,35,日本標準職業分類１,I645
JT0036,36,主な厚労省編職業分類,14_092-02
JT0036,36,厚労省編職業分類１,14_092-02
JT0036,36,主な日本標準職業分類,J681
JT0036,36,日本標準職業分類１,J681
JT0037,37,主な厚労省編職業分類,14_091-02
JT0037,37,厚労省編職業分類１,14_091-02
JT0037,37,主な日本標準職業分類,J662
JT0037,37,日本標準職業分類１,J662
JT0038,38,主な厚労省編職業分類,14_091-02
JT0038,38,厚労省編職業分類１,14_091-02
JT0038,38,主な日本標準職業分類,J662
JT0038,38,日本標準職業分類１,J662
JT0039,39,主な厚労省編職業分類,14_091-04
JT0039,39,厚労省編職業分類１,14_091-04
JT0039,39,主な日本標準職業分類,J664
JT0039,39,日本標準職業分類１,J664
JT0040,40,主な厚労省編職業分類,12_071-10
JT0040,40,厚労省編職業分類１,12_071-10
JT0040,40,主な日本標準職業分類,H526
JT0040,40,日本標準職業分類１,H526
JT0041,41,主な厚労省編職業分類,14_091-07
JT0041,41,厚労省編職業分類１,14_091-07
JT0041,41,主な日本標準職業分類,J669
JT0041,41,日本標準職業分類１,J669
JT0042,42,主な厚労省編職業分類,14_091-07
JT0042,42,厚労省編職業分類１,14_091-07
JT0042,42,主な日本標準職業分類,J669
JT0042,42,日本標準職業分類１,J669
JT0043,43,主な厚労省編職業分類,12_080-01
JT0043,43,厚労省編職業分類１,12_080-01
JT0043,43,主な日本標準職業分類,H591
JT0043,43,日本標準職業分類１,H591
JT0044,44,主な厚労省編職業分類,14_091-08
JT0044,44,厚労省編職業分類１,14_091-08
JT0044,44,主な日本標準職業分類,J669
JT0044,44,日本標準職業分類１,J669
JT0045,45,主な厚労省編職業分類,14_091-99
JT0045,45,厚労省編職業分類１,14_091-99
JT0045,45,主な日本標準職業分類,J669
JT0045,45,日本標準職業分類１,J669
JT0046,46,主な厚労省編職業分類,14_094-05
JT0046,46,厚労省編職業分類１,14_094-05
JT0046,46,主な日本標準職業分類,J679
JT0046,46,日本標準職業分類１,J679
JT0047,47,主な厚労省編職業分類,14_091-06
JT0047,47,厚労省編職業分類１,14_091-06
JT0047,47,主な日本標準職業分類,J666
JT0047,47,日本標準職業分類１,J666
JT0048,48,主な厚労省編職業分類,12_074-01
JT0048,48,厚労省編職業分類１,12_074-01
JT0048,48,主な日本標準職業分類,H541
JT0048,48,日本標準職業分類１,H541
JT0049,49,主な厚労省編職業分類,14_092-03
JT0049,49,厚労省編職業分類１,14_092-03
JT0049,49,主な日本標準職業分類,J682
JT0049,49,日本標準職業分類１,J682
JT0050,50,主な厚労省編職業分類,14_094-01
JT0050,50,厚労省編職業分類１,14_094-01
JT0050,50,主な日本標準職業分類,J671
JT0050,50,日本標準職業分類１,J671
JT0051,51,主な厚労省編職業分類,14_090-03
JT0051,51,厚労省編職業分類１,14_090-03
JT0051,51,主な日本標準職業分類,J652
JT0051,51,日本標準職業分類１,J652
JT0052,52,主な厚労省編職業分類,09_056-02
JT0052,52,厚労省編職業分類１,09_056-02
JT0052,52,主な日本標準職業分類,E402
JT0052,52,日本標準職業分類１,E402
JT0053,53,主な厚労省編職業分類,01_002-01
JT0053,53,厚労省編職業分類１,01_002-01
JT0053,53,主な日本標準職業分類,A031
JT0053,53,日本標準職業分類１,A031
JT0054,54,主な厚労省編職業分類,07_045-02
JT0054,54,厚労省編職業分類１,07_045-02
JT0054,54,主な日本標準職業分類,D323
JT0054,54,日本標準職業分類１,D323
JT0055,55,主な厚労省編職業分類,07_044-01
JT0055,55,厚労省編職業分類１,01_002-01
JT0055,55,厚労省編職業分類２,07_044-01
JT0055,55,主な日本標準職業分類,D321
JT0055,55,日本標準職業分類１,A031
JT0055,55,日本標準職業分類２,D321
JT0056,56,主な厚労省編職業分類,07_045-01
JT0056,56,厚労省編職業分類１,07_045-01
JT0056,56,主な日本標準職業分類,D323
JT0056,56,日本標準職業分類１,D323
JT0057,57,主な厚労省編職業分類,07_045-05
JT0057,57,厚労省編職業分類１,07_045-05
JT0057,57,主な日本標準職業分類,D323
JT0057,57,日本標準職業分類１,D323
JT0058,58,主な厚労省編職業分類,07_048-99
JT0058,58,厚労省編職業分類１,07_047-99
JT0058,58,厚労省編職業分類２,07_048-99
JT0058,58,主な日本標準職業分類,D349
JT0058,58,日本標準職業分類１,D339
JT0058,58,日本標準職業分類２,D349
JT0059,59,主な厚労省編職業分類,07_048-08
JT0059,59,厚労省編職業分類１,07_048-08
JT0059,59,主な日本標準職業分類,D347
JT0059,59,日本標準職業分類１,D347
JT0060,60,主な厚労省編職業分類,07_048-05
JT0060,60,厚労省編職業分類１,07_048-05
JT0060,60,厚労省編職業分類２,07_045-12
JT0060,60,主な日本標準職業分類,D344
JT0060,60,日本標準職業分類１,D344
JT0060,60,日本標準職業分類２,D323
JT0061,61,主な厚労省編職業分類,07_048-09
JT0061,61,厚労省編職業分類１,07_048-09
