job_id,source_job_id,qualification_no,qualification_name
JT0001,1,1,食品衛生責任者
JT0002,2,1,食品衛生責任者
JT0002,2,2,特級パン製造技能士
JT0002,2,3,１級パン製造技能士
JT0002,2,4,２級パン製造技能士
JT0003,3,1,製菓衛生師
JT0003,3,2,１級菓子製造技能士
JT0003,3,3,２級菓子製造技能士
JT0004,4,1,製菓衛生師
JT0004,4,2,１級菓子製造技能士
JT0004,4,3,２級菓子製造技能士
JT0005,5,1,食品衛生管理者
JT0006,6,1,１級水産練り製品製造技能士
JT0006,6,2,２級水産練り製品製造技能士
JT0008,8,1,調理師
JT0008,8,2,一級惣菜管理士
JT0008,8,3,二級惣菜管理士
JT0008,8,4,三級惣菜管理士
JT0009,9,1,１級酒造技能士
JT0009,9,2,２級酒造技能士
JT0010,10,1,１級みそ製造技能士
JT0010,10,2,２級みそ製造技能士
JT0012,12,1,食品衛生管理者
JT0012,12,2,１級ハム・ソーセージ・ベーコン製造技能士
JT0012,12,3,２級ハム・ソーセージ・ベーコン製造技能士
JT0017,17,1,１級陶磁器製造技能士
JT0017,17,2,２級陶磁器製造技能士
JT0019,19,1,特級プラスチック成形技能士
JT0019,19,2,１級プラスチック成形技能士
JT0019,19,3,２級プラスチック成形技能士
JT0019,19,4,３級プラスチック成形技能士
JT0019,19,5,１級強化プラスチック成形技能士
JT0019,19,6,２級強化プラスチック成形技能士
JT0020,20,1,一級建築士
JT0020,20,2,二級建築士
JT0020,20,3,木造建築士
JT0020,20,4,１級建築施工管理技士
JT0020,20,5,２級建築施工管理技士
JT0020,20,6,技術士（建設部門）
JT0021,21,1,一級建築士
JT0021,21,2,二級建築士
JT0021,21,3,木造建築士
JT0021,21,4,１級建築施工管理技士
JT0021,21,5,２級建築施工管理技士
JT0021,21,6,技術士（建設部門）
JT0022,22,1,技術士（建設部門）
JT0022,22,2,１級土木施工管理技士
JT0022,22,3,２級土木施工管理技士
JT0022,22,4,１級土木施工管理技士補
JT0022,22,5,２級土木施工管理技士補
JT0023,23,1,技術士（建設部門）
JT0023,23,2,１級土木施工管理技士
JT0023,23,3,２級土木施工管理技士
JT0023,23,4,測量士
JT0023,23,5,１級土木施工管理技士補
JT0023,23,6,２級土木施工管理技士補
JT0024,24,1,測量士
JT0024,24,2,測量士補
JT0024,24,3,土地家屋調査士
JT0025,25,1,ＣＡＤ利用技術者１級
JT0025,25,2,ＣＡＤ利用技術者２級
JT0025,25,3,建築ＣＡＤ検定准１級
JT0025,25,4,建築ＣＡＤ検定２級
JT0025,25,5,建築ＣＡＤ検定３級
JT0026,26,1,二級建築士
JT0026,26,2,木造建築士
JT0027,27,1,１級型枠施工技能士
JT0027,27,2,２級型枠施工技能士
JT0027,27,3,型枠支保工の組立て等作業主任者
JT0028,28,1,１級鉄筋施工技能士
JT0028,28,2,２級鉄筋施工技能士
JT0029,29,1,１級鉄工技能士
JT0029,29,2,２級鉄工技能士
JT0030,30,1,足場の組立て等作業主任者
JT0030,30,2,とび技能士
JT0030,30,3,日本躯体コンクリート打込み・締固め工団体検定1級
JT0030,30,4,日本躯体コンクリート打込み・締固め工団体検定2級
JT0031,31,1,１級建設機械施工技士
JT0031,31,2,２級建設機械施工技士
JT0031,31,3,大型特殊自動車免許
JT0031,31,4,クレーン・デリック運転士（クレーン限定）
JT0031,31,5,移動式クレーン運転士
JT0031,31,6,車両系建設機械（基礎工事用）運転技能者
JT0031,31,7,１級建設機械施工技士補
JT0031,31,8,２級建設機械施工技士補
JT0032,32,1,１級土木施工管理技士
JT0032,32,2,２級土木施工管理技士
JT0032,32,3,ガス溶接技能者
JT0032,32,4,玉掛技能者
