job_id,source_job_id,task_no,task_text,execution_rate,importance
JT0001,1,1,選別した大豆を洗浄し、水に漬ける。,0.844,3.222
JT0001,1,2,水に漬けて膨らんだ大豆を擂り潰してペースト状の呉汁にするため、豆擂機にかける。,0.813,3.346
JT0001,1,3,呉汁を煮込む。,0.813,3.385
JT0001,1,4,煮込んだ呉汁を豆乳とおからに分けるため、絞り機にかける。,0.844,3.296
JT0001,1,5,凝固材のにがりを、豆乳の濃度と温度から判断して加え、手作業または機械で攪拌する。,0.844,3.593
JT0001,1,6,攪拌後、凝固材を加えた豆乳を静置し、熟成させる。,0.844,3.333
JT0001,1,7,熟成させた豆腐を成形するため、穴のあいた割箱（または型箱）に盛り込み、重しをのせてプレスする。,0.875,3.5
JT0001,1,8,成形された豆腐を、冷水を張った水槽に移し、専用の包丁で１丁ずつに切り分ける。,0.844,3.222
JT0001,1,9,充填豆腐を製造する場合は、豆乳とにがりを混ぜたものをパックに密封・煮沸し・冷却する。,0.75,3.292
JT0001,1,10,油揚げの生地を作り、薄く切る。,0.625,3.05
JT0001,1,11,薄く切った油揚げの生地を完全に水切りをするため、プレス機にかける。,0.594,3.263
JT0001,1,12,生揚げを作るため、豆腐におもりをのせて余分な水分を取り除く。,0.656,3.19
JT0001,1,13,油揚げや生揚げを作るために、油槽で温度や状態を観察しながら揚げる。,0.719,3.522
JT0001,1,14,出来上がった製品の品質検査をする。,0.75,3.375
JT0001,1,15,豆腐、油揚げ、生揚げの包装やシールをする装置を操作する。,0.844,3.222
JT0001,1,16,出来上がった商品を小売店に卸したり、自分の店舗で販売する。,0.875,3.286
JT0001,1,17,衛生に注意して機械設備を点検し、作業所内の洗浄と消毒をする。,0.938,3.7
JT0002,2,1,小麦粉、イースト、塩、砂糖、油脂、粉乳、卵といった配合原料を計量する。,0.796,4.257
JT0002,2,2,計量済みの配合原料を、練り上げて生地をつくるため、ミキサーと呼ばれる機械を使って混ぜ合わる（仕込み）。,0.818,4.278
JT0002,2,3,パンの中に入れる具材やクリームを切ったり調理する。,0.886,3.846
JT0002,2,4,仕込みが終わった生地の練り具合、硬さ、温度を確認し、静置して発酵させる（一次発酵）。,0.886,4.154
JT0002,2,5,一次発酵後の生地を一定量に分割し、手や機械を使ってパンの形を整える。,0.886,4.179
JT0002,2,6,成形した生地を、型や鉄板の上に並べ、一定の温度・湿度に保たれたホイロと呼ばれる部屋に入れ、生地を膨脹させる（二次発酵）。,0.909,4.225
JT0002,2,7,パンの種類に応じてオーブンの温度、時間を設定し、パンを焼く。,0.932,4.122
JT0002,2,8,焼き上がったパンを、網棚状のラックに並べて自然放冷、または温度、湿度をコントロールした冷却工程によって冷却する。,0.886,3.846
JT0002,2,9,パンが冷めた後、中身を詰めたり、表面を飾ったりして仕上げる。,0.864,3.684
JT0002,2,10,カレーパンやドーナツを専用フライ油脂で揚げる。,0.659,3.828
JT0002,2,11,出来上がったパンを包装し、出荷あるいは店頭に並べる。,0.909,3.8
JT0002,2,12,異物混入や包装不良などの不具合を、目視や機械で確認する。,0.977,4.163
JT0002,2,13,工場や調理場、店舗の清掃をする。,0.977,4.023
JT0002,2,14,機械や調理器具を洗浄する。,0.977,4.023
JT0002,2,15,小麦粉などの原料を発注し、管理する。,0.841,3.838
JT0002,2,16,パンの新商品を開発する。,0.75,3.485
JT0003,3,1,計量カップ、秤を使用して、材料を計量する。,0.9,4.133
JT0003,3,2,材料を手作業や電動ミキサーで混ぜて生地や生地バターを作る。,0.84,4.095
JT0003,3,3,ナイフ、ディバイダー、クッキー・カッターで生地を均等に切ったり、麺棒を使用して生地を成形する。,0.68,3.853
JT0003,3,4,混合した生地を型に流し込む。,0.8,3.9
